sinFurgoGenerador1
Experiment,Beneficis Inicials,Beneficis Finals,Temps d'Execució (ms)
1,-6,42,107
2,4,45,48
3,1,46,25
4,0,52,30
5,0,50,27
6,0,49,24
7,-3,49,25
8,-6,48,26
9,3,48,23
10,-5,48,22
Mitjana (desv. típica),-1.2 (3.429),47.7 (2.648),35.7 (24.803)
