Iteracions,Seed,k,Lambda,Beneficis
1,-1790031380,125,1.0,117
1,-1790031380,125,1.0,86
1,-1790031380,125,1.0,90
1,-1790031380,125,1.0,89
1,-1790031380,125,1.0,92
1,-1790031380,125,1.0,90
1,-1790031380,125,1.0,100
1,-1790031380,125,1.0,103
1,-1790031380,125,1.0,93
1,-1790031380,125,1.0,94
1,-1790031380,125,1.0,89
1,-1790031380,125,1.0,101
1,-1790031380,125,1.0,100
1,-1790031380,125,1.0,111
1,-1790031380,125,1.0,93
1,-1790031380,125,1.0,102
1,-1790031380,125,1.0,111
1,-1790031380,125,1.0,95
1,-1790031380,125,1.0,100
1,-1790031380,125,1.0,101
1,-1790031380,125,1.0,101
1,-1790031380,125,1.0,90
1,-1790031380,125,1.0,101
1,-1790031380,125,1.0,111
1,-1790031380,125,1.0,91
1,-1790031380,125,1.0,97
1,-1790031380,125,1.0,90
1,-1790031380,125,1.0,99
1,-1790031380,125,1.0,96
1,-1790031380,125,1.0,98
1,-1790031380,125,1.0,115
1,-1790031380,125,1.0,85
1,-1790031380,125,1.0,122
1,-1790031380,125,1.0,86
1,-1790031380,125,1.0,78
1,-1790031380,125,1.0,104
1,-1790031380,125,1.0,110
1,-1790031380,125,1.0,103
1,-1790031380,125,1.0,102
1,-1790031380,125,1.0,118
1,-1790031380,125,1.0,99
1,-1790031380,125,1.0,107
1,-1790031380,125,1.0,89
1,-1790031380,125,1.0,95
1,-1790031380,125,1.0,102
1,-1790031380,125,1.0,90
1,-1790031380,125,1.0,113
1,-1790031380,125,1.0,96
1,-1790031380,125,1.0,94
1,-1790031380,125,1.0,104
1,-1790031380,125,1.0,88
1,-1790031380,125,1.0,76
1,-1790031380,125,1.0,83
1,-1790031380,125,1.0,91
1,-1790031380,125,1.0,99
1,-1790031380,125,1.0,92
1,-1790031380,125,1.0,88
1,-1790031380,125,1.0,101
1,-1790031380,125,1.0,81
1,-1790031380,125,1.0,113
1,-1790031380,125,1.0,91
1,-1790031380,125,1.0,106
1,-1790031380,125,1.0,87
1,-1790031380,125,1.0,122
1,-1790031380,125,1.0,77
1,-1790031380,125,1.0,76
1,-1790031380,125,1.0,85
1,-1790031380,125,1.0,96
1,-1790031380,125,1.0,100
1,-1790031380,125,1.0,94
1,-1790031380,125,1.0,93
1,-1790031380,125,1.0,87
1,-1790031380,125,1.0,92
1,-1790031380,125,1.0,87
1,-1790031380,125,1.0,107
1,-1790031380,125,1.0,113
1,-1790031380,125,1.0,92
1,-1790031380,125,1.0,93
1,-1790031380,125,1.0,101
1,-1790031380,125,1.0,120
1,-1790031380,125,1.0,84
1,-1790031380,125,1.0,82
1,-1790031380,125,1.0,96
1,-1790031380,125,1.0,92
1,-1790031380,125,1.0,102
1,-1790031380,125,1.0,101
1,-1790031380,125,1.0,108
1,-1790031380,125,1.0,97
1,-1790031380,125,1.0,104
1,-1790031380,125,1.0,87
1,-1790031380,125,1.0,90
1,-1790031380,125,1.0,96
1,-1790031380,125,1.0,89
1,-1790031380,125,1.0,113
1,-1790031380,125,1.0,90
1,-1790031380,125,1.0,113
1,-1790031380,125,1.0,99
1,-1790031380,125,1.0,98
1,-1790031380,125,1.0,107
1,-1790031380,125,1.0,104
2,-163684856,125,1.0,83
2,-163684856,125,1.0,78
2,-163684856,125,1.0,86
2,-163684856,125,1.0,80
2,-163684856,125,1.0,85
2,-163684856,125,1.0,92
2,-163684856,125,1.0,81
2,-163684856,125,1.0,91
2,-163684856,125,1.0,74
2,-163684856,125,1.0,85
2,-163684856,125,1.0,95
2,-163684856,125,1.0,89
2,-163684856,125,1.0,85
2,-163684856,125,1.0,83
2,-163684856,125,1.0,67
2,-163684856,125,1.0,77
2,-163684856,125,1.0,93
2,-163684856,125,1.0,93
2,-163684856,125,1.0,80
2,-163684856,125,1.0,84
2,-163684856,125,1.0,90
2,-163684856,125,1.0,77
2,-163684856,125,1.0,81
2,-163684856,125,1.0,93
2,-163684856,125,1.0,88
2,-163684856,125,1.0,87
2,-163684856,125,1.0,88
2,-163684856,125,1.0,83
2,-163684856,125,1.0,89
2,-163684856,125,1.0,79
2,-163684856,125,1.0,87
2,-163684856,125,1.0,81
2,-163684856,125,1.0,85
2,-163684856,125,1.0,83
2,-163684856,125,1.0,80
2,-163684856,125,1.0,83
2,-163684856,125,1.0,72
2,-163684856,125,1.0,85
2,-163684856,125,1.0,76
2,-163684856,125,1.0,78
2,-163684856,125,1.0,88
2,-163684856,125,1.0,82
2,-163684856,125,1.0,75
2,-163684856,125,1.0,95
2,-163684856,125,1.0,80
2,-163684856,125,1.0,73
2,-163684856,125,1.0,90
2,-163684856,125,1.0,80
2,-163684856,125,1.0,91
2,-163684856,125,1.0,77
2,-163684856,125,1.0,81
2,-163684856,125,1.0,63
2,-163684856,125,1.0,91
2,-163684856,125,1.0,86
2,-163684856,125,1.0,95
2,-163684856,125,1.0,88
2,-163684856,125,1.0,79
2,-163684856,125,1.0,87
2,-163684856,125,1.0,88
2,-163684856,125,1.0,81
2,-163684856,125,1.0,82
2,-163684856,125,1.0,73
2,-163684856,125,1.0,91
2,-163684856,125,1.0,83
2,-163684856,125,1.0,87
2,-163684856,125,1.0,82
2,-163684856,125,1.0,84
2,-163684856,125,1.0,80
2,-163684856,125,1.0,78
2,-163684856,125,1.0,81
2,-163684856,125,1.0,81
2,-163684856,125,1.0,82
2,-163684856,125,1.0,91
2,-163684856,125,1.0,91
2,-163684856,125,1.0,95
2,-163684856,125,1.0,88
2,-163684856,125,1.0,82
2,-163684856,125,1.0,74
2,-163684856,125,1.0,91
2,-163684856,125,1.0,82
2,-163684856,125,1.0,89
2,-163684856,125,1.0,91
2,-163684856,125,1.0,89
2,-163684856,125,1.0,84
2,-163684856,125,1.0,75
2,-163684856,125,1.0,88
2,-163684856,125,1.0,91
2,-163684856,125,1.0,76
2,-163684856,125,1.0,81
2,-163684856,125,1.0,81
2,-163684856,125,1.0,93
2,-163684856,125,1.0,82
2,-163684856,125,1.0,82
2,-163684856,125,1.0,89
2,-163684856,125,1.0,76
2,-163684856,125,1.0,88
2,-163684856,125,1.0,87
2,-163684856,125,1.0,82
2,-163684856,125,1.0,82
2,-163684856,125,1.0,84
3,290579331,125,1.0,95
3,290579331,125,1.0,68
3,290579331,125,1.0,96
3,290579331,125,1.0,82
3,290579331,125,1.0,85
3,290579331,125,1.0,109
3,290579331,125,1.0,87
3,290579331,125,1.0,73
3,290579331,125,1.0,84
3,290579331,125,1.0,76
3,290579331,125,1.0,99
3,290579331,125,1.0,89
3,290579331,125,1.0,81
3,290579331,125,1.0,79
3,290579331,125,1.0,68
3,290579331,125,1.0,98
3,290579331,125,1.0,83
3,290579331,125,1.0,90
3,290579331,125,1.0,80
3,290579331,125,1.0,81
3,290579331,125,1.0,81
3,290579331,125,1.0,91
3,290579331,125,1.0,96
3,290579331,125,1.0,84
3,290579331,125,1.0,84
3,290579331,125,1.0,83
3,290579331,125,1.0,80
3,290579331,125,1.0,78
3,290579331,125,1.0,85
3,290579331,125,1.0,87
3,290579331,125,1.0,101
3,290579331,125,1.0,85
3,290579331,125,1.0,90
3,290579331,125,1.0,72
3,290579331,125,1.0,90
3,290579331,125,1.0,94
3,290579331,125,1.0,84
3,290579331,125,1.0,74
3,290579331,125,1.0,79
3,290579331,125,1.0,81
3,290579331,125,1.0,88
3,290579331,125,1.0,85
3,290579331,125,1.0,92
3,290579331,125,1.0,96
3,290579331,125,1.0,77
3,290579331,125,1.0,80
3,290579331,125,1.0,98
3,290579331,125,1.0,84
3,290579331,125,1.0,93
3,290579331,125,1.0,106
3,290579331,125,1.0,77
3,290579331,125,1.0,76
3,290579331,125,1.0,74
3,290579331,125,1.0,92
3,290579331,125,1.0,82
3,290579331,125,1.0,80
3,290579331,125,1.0,73
3,290579331,125,1.0,76
3,290579331,125,1.0,85
3,290579331,125,1.0,94
3,290579331,125,1.0,80
3,290579331,125,1.0,86
3,290579331,125,1.0,73
3,290579331,125,1.0,79
3,290579331,125,1.0,93
3,290579331,125,1.0,86
3,290579331,125,1.0,80
3,290579331,125,1.0,80
3,290579331,125,1.0,99
3,290579331,125,1.0,83
3,290579331,125,1.0,85
3,290579331,125,1.0,82
3,290579331,125,1.0,86
3,290579331,125,1.0,103
3,290579331,125,1.0,86
3,290579331,125,1.0,81
3,290579331,125,1.0,95
3,290579331,125,1.0,88
3,290579331,125,1.0,83
3,290579331,125,1.0,88
3,290579331,125,1.0,98
3,290579331,125,1.0,86
3,290579331,125,1.0,84
3,290579331,125,1.0,83
3,290579331,125,1.0,70
